CustomerID,Age,Gender,Income_Level,Health_Conscious_Score,Current_Beverage_Preference,Purchase_Intention,Willingness_To_Pay,Feature_Preference_Taste,Feature_Preference_EnergyBoost,Feature_Preference_Packaging,Feature_Preference_Price,Feature_Preference_Availability,Expected_Repeat_Purchase_Rate,Open_Ended_Feedback,Preferred_Channel,Proximity_to_Store,Channel_Satisfaction,Awareness_Source,Promo_Response,Ad_Recall_Score,Coupon_Usage(%),Brand_Engagement
1,46,Male,Medium,8,Energy Drinks,0,83,1,3,3,3,2,0.85,Not sure if I would switch from my current brand.,Gym,1.27,2,Social Media,No,5,97,Medium
2,32,Male,High,6,,1,129,5,3,1,4,4,0.55,Great taste but packaging could be improved.,Gym,3.41,5,Social Media,No,3,92,Medium
3,25,Female,Low,5,Water,1,43,4,5,3,5,5,0.43,Price is a concern for students like me.,Gym,3.8,4,TV,Yes,1,23,Low
4,38,Other,Low,6,Water,0,129,3,5,3,5,1,0.72,Not sure if I would switch from my current brand.,Convenience Store,2.98,1,Social Media,Yes,4,23,Medium
5,36,Other,Low,2,Juices,0,143,5,5,4,1,3,0.23,I love the idea of a healthy energy drink.,Cafe,2.36,3,Word of Mouth,No,5,3,Low
6,40,Female,High,1,Energy Drinks,1,48,4,2,4,3,1,0.53,Needs more flavor options.,Supermarket,2.06,5,In-store Promo,Yes,1,66,Medium
7,28,Male,High,7,,1,44,5,3,3,2,3,0.44,Not really interested in energy drinks.,Convenience Store,1.74,1,Social Media,Yes,1,33,Low
8,28,Male,Medium,7,,1,95,2,1,2,3,5,0.84,I love the idea of a healthy energy drink.,Gym,4.65,5,Word of Mouth,No,1,56,Low
9,41,Female,Medium,10,Water,1,135,2,4,4,5,3,0.21,Love the natural ingredients.,Online Store,4.15,5,Online Ads,Yes,1,48,Low
10,53,Female,Medium,10,Energy Drinks,0,123,1,5,5,4,4,0.59,Convenience of availability is key.,Gym,4.83,3,Word of Mouth,No,3,86,Low
11,41,Male,Low,2,Juices,1,89,1,5,5,2,3,0.72,Needs more flavor options.,Cafe,0.62,4,In-store Promo,Yes,3,52,High
12,20,Other,High,2,Energy Drinks,0,114,2,3,1,1,4,0.54,Too expensive compared to other drinks.,Gym,3.65,2,Word of Mouth,Yes,3,22,High
13,39,Male,Medium,1,Soft Drinks,1,54,5,3,3,2,5,0.26,Not sure if I would switch from my current brand.,Online Store,4.69,4,TV,Yes,5,68,Medium
14,19,Female,Medium,10,Energy Drinks,1,71,2,2,2,1,5,0.88,Too expensive compared to other drinks.,Cafe,0.91,3,In-store Promo,No,5,94,Low
15,41,Male,Medium,8,Soft Drinks,1,67,1,2,1,2,1,0.56,I love the idea of a healthy energy drink.,Gym,0.33,3,Online Ads,Yes,5,52,Low
16,47,Female,Low,8,Soft Drinks,0,61,2,5,3,1,4,0.63,Great taste but packaging could be improved.,Cafe,3.71,3,TV,Yes,2,61,Low
17,19,Male,Low,1,Juices,0,144,2,3,4,1,4,0.37,Great taste but packaging could be improved.,Supermarket,2.87,1,Word of Mouth,No,5,40,Low
18,38,Male,Medium,8,Water,1,56,5,1,5,2,2,0.54,Convenience of availability is key.,Supermarket,4.21,4,In-store Promo,Yes,3,56,High
19,50,Male,Low,9,Energy Drinks,1,98,4,4,2,2,2,0.5,I love the idea of a healthy energy drink.,Gym,0.7,4,Online Ads,Yes,3,59,Low
20,29,Female,Medium,4,Soft Drinks,1,129,1,3,5,1,2,0.25,Sounds great! Would definitely try.,Cafe,3.98,5,TV,No,2,53,Medium
